feature,feature_type,bin_description,count,bad,bad_rate,woe,total_iv,coefficient,bin_points
mths_since_recent_inq,continuous,"[1, 3)",93808,20410,0.2175720620842572,-0.13551653560087448,0.037971584112456644,-0.4069428764165733,-3.9780504304207813
mths_since_recent_inq,continuous,"[3, 4)",40097,8298,0.2069481507344689,-0.07199476991489627,0.037971584112456644,-0.4069428764165733,-2.1133865633305793
mths_since_recent_inq,continuous,"[4, 5)",35255,7025,0.19926251595518366,-0.024513994029779836,0.037971584112456644,-0.4069428764165733,-0.7196015162954686
mths_since_recent_inq,continuous,"[5, 7)",61443,11958,0.19461940334944583,0.004866814044428357,0.037971584112456644,-0.4069428764165733,0.1428639805347208
mths_since_recent_inq,continuous,"[7, 9)",48605,9215,0.18958954840037034,0.037267260741422364,0.037971584112456644,-0.4069428764165733,1.0939701341661368
mths_since_recent_inq,continuous,"[9, 12)",53484,9746,0.1822227208137013,0.08594991417537087,0.037971584112456644,-0.4069428764165733,2.5230359643119225
mths_since_recent_inq,continuous,"[12, 16)",47421,8284,0.17469053794732292,0.13732422689697033,0.037971584112456644,-0.4069428764165733,4.031114708566744
mths_since_recent_inq,continuous,"[16, inf)",47594,7544,0.15850737487918645,0.25395177613103775,0.037971584112456644,-0.4069428764165733,7.454684167248425
mths_since_recent_inq,continuous,__MISSING__,58937,8034,0.13631504827188354,0.43081635324342854,0.037971584112456644,-0.4069428764165733,12.646494922950739
num_actv_rev_tl,continuous,"[-inf, 2)",68879,10922,0.15856792345998055,0.25351130419905005,0.030702581054029104,-0.16877745232906485,3.0864290629278472
num_actv_rev_tl,continuous,"[2, 3)",81873,13667,0.16692926850121528,0.19214531915436908,0.030702581054029104,-0.16877745232906485,2.3393153974623186
num_actv_rev_tl,continuous,"[3, 4)",92145,16397,0.1779477996635737,0.11491596074305772,0.030702581054029104,-0.16877745232906485,1.3990696081669167
num_actv_rev_tl,continuous,"[4, 5)",86274,16512,0.19139022185131094,0.02560514898170072,0.030702581054029104,-0.16877745232906485,0.3117355110747547
num_actv_rev_tl,continuous,"[5, 6)",71645,14363,0.20047456207690698,-0.03206889684569198,0.030702581054029104,-0.16877745232906485,-0.3904298293651782
num_actv_rev_tl,continuous,"[6, 7)",55845,11584,0.2074312830154893,-0.07492657028488851,0.030702581054029104,-0.16877745232906485,-0.9122099893865503
num_actv_rev_tl,continuous,"[7, 8)",41397,9167,0.22144116723434065,-0.15812520904399602,0.030702581054029104,-0.16877745232906485,-1.9251300935745783
num_actv_rev_tl,continuous,"[8, 10)",50731,11639,0.2294257948788709,-0.2038476506031042,0.030702581054029104,-0.16877745232906485,-2.481788002388178
num_actv_rev_tl,continuous,"[10, inf)",49860,12715,0.25501403931006816,-0.343352885743787,0.030702581054029104,-0.16877745232906485,-4.1802251333443285
percent_bc_gt_75,continuous,"[-inf, 0)",122730,18850,0.15358917949971482,0.2913214908397165,0.03340420367867926,-0.10983743465471921,2.3081681720016363
percent_bc_gt_75,continuous,"[0, 25)",76967,13346,0.17339898917717983,0.1463170148978264,0.03340420367867926,-0.10983743465471921,1.1592837721514553
percent_bc_gt_75,continuous,"[25, 33.3)",49912,9170,0.18372335310145857,0.07589969281092761,0.03340420367867926,-0.10983743465471921,0.6013605611653028
percent_bc_gt_75,continuous,"[33.3, 50)",98241,19334,0.19680174265327105,-0.00899505496493322,0.03340420367867926,-0.10983743465471921,-0.07126868503802677
percent_bc_gt_75,continuous,"[50, 66.7)",67705,14387,0.2124953843881545,-0.10545668161434323,0.03340420367867926,-0.10983743465471921,-0.8355434242956727
percent_bc_gt_75,continuous,"[66.7, inf)",176768,40556,0.2294306661839247,-0.20386016779147567,0.03340420367867926,-0.10983743465471921,-1.6152037032313824
